Created Aplicatie table,2024-06-05T12:28:31.1082661;
Created method table,2024-06-05T12:28:31.1348598;
Created card table,2024-06-05T12:28:31.1591235;
Created voucher table,2024-06-05T12:28:31.1635099;
Created Utilizator table,2024-06-05T12:28:31.172423;
Show all apps,2024-06-05T12:28:31.1735836;
Obtain an app,2024-06-05T12:28:31.2146241;
Update an app,2024-06-05T12:28:31.2210033;
Obtain an app,2024-06-05T12:28:31.2267307;
Show all users,2024-06-05T12:28:31.2386517;
Obtain one user,2024-06-05T12:28:31.2424067;
Created Aplicatie table,2024-06-05T14:42:15.404652;
Created method table,2024-06-05T14:42:15.4419047;
Created card table,2024-06-05T14:42:15.4711698;
Created voucher table,2024-06-05T14:42:15.477778;
Created Utilizator table,2024-06-05T14:42:15.487968;
Insert a method,2024-06-05T14:42:15.4885158;
Insert a voucher,2024-06-05T14:42:15.5176233;
Insert a method,2024-06-05T14:42:15.529952;
Insert a card,2024-06-05T14:42:15.5337816;
Show all methods,2024-06-05T14:42:15.5397968;
Update a method,2024-06-05T14:42:15.5425212;
Update a voucher,2024-06-05T14:42:15.5440996;
Obtain a method,2024-06-05T14:42:15.5468132;
Obtain a voucher,2024-06-05T14:42:15.5484667;
Created Aplicatie table,2024-10-30T17:12:31.1365329;
Created method table,2024-10-30T17:12:31.1701932;
Created card table,2024-10-30T17:12:31.1976342;
Created voucher table,2024-10-30T17:12:31.2026935;
Created Utilizator table,2024-10-30T17:12:31.212281;
Insert a method,2024-10-30T17:12:31.2128178;
Insert a voucher,2024-10-30T17:12:31.2409671;
Insert a method,2024-10-30T17:12:31.2539132;
Insert a card,2024-10-30T17:12:31.2576882;
Show all methods,2024-10-30T17:12:31.2626486;
Update a method,2024-10-30T17:12:31.2653483;
Update a voucher,2024-10-30T17:12:31.2669822;
Obtain a method,2024-10-30T17:12:31.2698535;
Obtain a voucher,2024-10-30T17:12:31.2714462;
Created Aplicatie table,2024-11-22T16:14:05.3354156;
Created method table,2024-11-22T16:14:05.3867857;
Created card table,2024-11-22T16:14:05.4213863;
Created voucher table,2024-11-22T16:14:05.428045;
Created Utilizator table,2024-11-22T16:14:05.4392975;
Insert a method,2024-11-22T16:14:05.4398423;
Insert a voucher,2024-11-22T16:14:05.47603;
Insert a method,2024-11-22T16:14:05.493619;
Insert a card,2024-11-22T16:14:05.498923;
Show all methods,2024-11-22T16:14:05.504907;
Update a method,2024-11-22T16:14:05.5080904;
Update a voucher,2024-11-22T16:14:05.510269;
Obtain a method,2024-11-22T16:14:05.5129355;
Obtain a voucher,2024-11-22T16:14:05.5150577;
Created Aplicatie table,2024-11-22T16:15:15.6379447;
Created method table,2024-11-22T16:15:15.676982;
Created card table,2024-11-22T16:15:15.7126556;
Created voucher table,2024-11-22T16:15:15.718185;
Created Utilizator table,2024-11-22T16:15:15.7277343;
Show all methods,2024-11-22T16:15:15.7282563;
Update a method,2024-11-22T16:15:15.7529773;
Update a voucher,2024-11-22T16:15:15.7616609;
Show all apps,2024-11-22T16:15:15.7763904;
Obtain an app,2024-11-22T16:15:15.8018888;
Update an app,2024-11-22T16:15:15.8052192;
Obtain an app,2024-11-22T16:15:15.8083727;
Show all users,2024-11-22T16:15:15.826808;
Obtain one user,2024-11-22T16:15:15.8313202;
Created Aplicatie table,2024-11-22T17:16:09.9926974;
Created method table,2024-11-22T17:16:10.0251148;
Created card table,2024-11-22T17:16:10.0646246;
Created voucher table,2024-11-22T17:16:10.0704899;
Created Utilizator table,2024-11-22T17:16:10.0849352;
Show all methods,2024-11-22T17:16:10.0860084;
Update a method,2024-11-22T17:16:10.1248128;
Update a voucher,2024-11-22T17:16:10.14126;
Show all apps,2024-11-22T17:16:10.1597774;
Obtain an app,2024-11-22T17:16:10.1937355;
Update an app,2024-11-22T17:16:10.1977246;
Obtain an app,2024-11-22T17:16:10.2024105;
Show all users,2024-11-22T17:16:10.2265847;
Obtain one user,2024-11-22T17:16:10.2294245;
